run	read	path
J330	R1	rawdata/WAR4048A1_53/J330_S53_L002_R1_001.fastq.gz
J330	R2	rawdata/WAR4048A1_53/J330_S53_L002_R2_001.fastq.gz
J330	R2	rawdata/WAR4048A1_53/J330_S53_L001_R2_001.fastq.gz
J298	R1	rawdata/WAR4048A1_185/J298_S185_L002_R1_001.fastq.gz
J298	R2	rawdata/WAR4048A1_185/J298_S185_L001_R2_001.fastq.gz
J298	R2	rawdata/WAR4048A1_185/J298_S185_L002_R2_001.fastq.gz
J298	R1	rawdata/WAR4048A1_185/J298_S185_L001_R1_001.fastq.gz
J433b	R2	rawdata/WAR4048A1_389/J433b_S389_L002_R2_001.fastq.gz
J433b	R2	rawdata/WAR4048A1_389/J433b_S389_L001_R2_001.fastq.gz
J433b	R1	rawdata/WAR4048A1_389/J433b_S389_L002_R1_001.fastq.gz
J433b	R1	rawdata/WAR4048A1_389/J433b_S389_L001_R1_001.fastq.gz
J435c	R2	rawdata/WAR4048A1_527/J435c_S527_L002_R2_001.fastq.gz
J435c	R2	rawdata/WAR4048A1_527/J435c_S527_L001_R2_001.fastq.gz
J435c	R1	rawdata/WAR4048A1_527/J435c_S527_L002_R1_001.fastq.gz
J435c	R1	rawdata/WAR4048A1_527/J435c_S527_L001_R1_001.fastq.gz
J303	R1	rawdata/WAR4048A1_204/J303_S204_L001_R1_001.fastq.gz
J303	R2	rawdata/WAR4048A1_204/J303_S204_L001_R2_001.fastq.gz
J303	R2	rawdata/WAR4048A1_204/J303_S204_L002_R2_001.fastq.gz
J303	R1	rawdata/WAR4048A1_204/J303_S204_L002_R1_001.fastq.gz
J419g	R2	rawdata/WAR4048A1_406/J419g_S406_L002_R2_001.fastq.gz
J419g	R2	rawdata/WAR4048A1_406/J419g_S406_L001_R2_001.fastq.gz
J419g	R1	rawdata/WAR4048A1_406/J419g_S406_L002_R1_001.fastq.gz
J419g	R1	rawdata/WAR4048A1_406/J419g_S406_L001_R1_001.fastq.gz
J426	R2	rawdata/WAR4048A1_400/J426_S400_L001_R2_001.fastq.gz
J426	R1	rawdata/WAR4048A1_400/J426_S400_L002_R1_001.fastq.gz
J426	R1	rawdata/WAR4048A1_400/J426_S400_L001_R1_001.fastq.gz
J426	R2	rawdata/WAR4048A1_400/J426_S400_L002_R2_001.fastq.gz
J416d	R2	rawdata/WAR4048A1_419/J416d_S419_L001_R2_001.fastq.gz
J416d	R1	rawdata/WAR4048A1_419/J416d_S419_L002_R1_001.fastq.gz
J416d	R1	rawdata/WAR4048A1_419/J416d_S419_L001_R1_001.fastq.gz
