"sample.id","site.id","other.ids","total.num.samples","tag.num","species","species.notes","date","notes","latitude","longitude","datum","state","location","altitude","geology","soil","aspect","collector","abundance","buds","flowers","fruit","photos","associated.species"
"J328b","J328",,5,15,"moluccana","Eucalyptus moluccana","2015-11-03",,-28.43038,152.35915,"WGS84","NSW","Legume, Mt Lindsay Rd",480,"Granite","clay","SW","J.Janes","Common",,,"Present","J328","Roadside;;;;;;;;"
"J328c","J328",,5,15,"moluccana","Eucalyptus moluccana","2015-11-03",,-28.43038,152.35915,"WGS84","NSW","Legume, Mt Lindsay Rd",480,"Granite","clay","SW","J.Janes","Common",,,"Present","J328","Roadside;;;;;;;;"
"J329a","J329",,4,16,"conica","Eucalyptus conica","2015-11-03",,-28.41028,152.29292,"WGS84","NSW","Legume, Mt Lindsay Rd",564,"Granite","sand","S","J.Janes","Common","Present",,"Present","J329","Ficus sp;Acacia burrowii;Clematis sp;smooth gum;;;;;"
"J329b","J329",,4,16,"conica","Eucalyptus conica","2015-11-03",,-28.41028,152.29292,"WGS84","NSW","Legume, Mt Lindsay Rd",564,"Granite","sand","S","J.Janes","Common","Present",,"Present","J329","Ficus sp;Acacia burrowii;Clematis sp;smooth gum;;;;;"
"J330a","J330",,5,17,"fibrosa","Eucalyptus fibrosa","2015-11-04",,-28.19138,151.61853,"WGS84","QLD","Karara, Cunningham Hwy",525,"Basalt","sand","N","J.Janes","Common",,,"Present","J330","Acacia clivicola;Acacia hakeoides;Dodonea cuneata;Callitris columellaris;;;;;"
"J330b","J330",,5,17,"fibrosa","Eucalyptus fibrosa","2015-11-04",,-28.19138,151.61853,"WGS84","QLD","Karara, Cunningham Hwy",525,"Basalt","sand","N","J.Janes","Common",,,"Present","J330","Acacia clivicola;Acacia hakeoides;Dodonea cuneata;Callitris columellaris;;;;;"
"J330c","J330",,5,17,"fibrosa","Eucalyptus fibrosa","2015-11-04",,-28.19138,151.61853,"WGS84","QLD","Karara, Cunningham Hwy",525,"Basalt","sand","N","J.Janes","Common",,,"Present","J330","Acacia clivicola;Acacia hakeoides;Dodonea cuneata;Callitris columellaris;;;;;"
"J331a","J331",,5,19,"crebra","Eucalyptus crebra","2015-11-04",,-28.29549,151.48801,"WGS84","QLD","Gore, Cunningham Hwy",510,"granite/sandstone","sand-clay","SW","J.Janes","Common","Present",,"Present","J331","Acacia clivicola;Acacia hakeoides;Dodonea cuneata;Callitris columellaris;Eucalyptus sp;;;;"
"J331b","J331",,5,19,"crebra","Eucalyptus crebra","2015-11-04",,-28.29549,151.48801,"WGS84","QLD","Gore, Cunningham Hwy",510,"granite/sandstone","sand-clay","SW","J.Janes","Common","Present",,"Present","J331","Acacia clivicola;Acacia hakeoides;Dodonea cuneata;Callitris columellaris;Eucalyptus sp;;;;"
"J331c","J331",,5,19,"crebra","Eucalyptus crebra","2015-11-04",,-28.29549,151.48801,"WGS84","QLD","Gore, Cunningham Hwy",510,"granite/sandstone","sand-clay","SW","J.Janes","Common","Present",,"Present","J331","Acacia clivicola;Acacia hakeoides;Dodonea cuneata;Callitris columellaris;Eucalyptus sp;;;;"
"J332a","J332",,5,18,"microcarpa","Eucalyptus sp (microcarpa?)","2015-11-04",,-28.29549,151.48801,"WGS84","QLD","Gore, Cunningham Hwy",510,"granite/sandstone","sand-clay","SW","J.Janes","Common",,,"Present","J332","Acacia clivicola;Acacia hakeoides;Dodonea cuneata;Callitris columellaris;Eucalyptus crebra;;;;"
"J332b","J332",,5,18,"microcarpa","Eucalyptus sp (microcarpa?)","2015-11-04",,-28.29549,151.48801,"WGS84","QLD","Gore, Cunningham Hwy",510,"granite/sandstone","sand-clay","SW","J.Janes","Common",,,"Present","J332","Acacia clivicola;Acacia hakeoides;Dodonea cuneata;Callitris columellaris;Eucalyptus crebra;;;;"
"J332c","J332",,5,18,"microcarpa","Eucalyptus sp (microcarpa?)","2015-11-04",,-28.29549,151.48801,"WGS84","QLD","Gore, Cunningham Hwy",510,"granite/sandstone","sand-clay","SW","J.Janes","Common",,,"Present","J332","Acacia clivicola;Acacia hakeoides;Dodonea cuneata;Callitris columellaris;Eucalyptus crebra;;;;"
"J332 - Recollecta","J332 - Recollect",,6,18,"microcarpa","Eucalyptus sp (microcarpa?)","2016-12-09","Recollected but originals already in herbarium",-28.29549,151.48801,"WGS84","QLD","Gore, Cunningham Hwy",510,"granite/sandstone","sand-clay","SW","J.Janes, T.Collins","Common",,,"Present","J332","Acacia clivicola;Acacia hakeoides;Dodonea cuneata;Callitris columellaris;Eucalyptus crebra;;;;"
"J332 - Recollectb","J332 - Recollect",,6,18,"microcarpa","Eucalyptus sp (microcarpa?)","2016-12-09","Recollected but originals already in herbarium",-28.29549,151.48801,"WGS84","QLD","Gore, Cunningham Hwy",510,"granite/sandstone","sand-clay","SW","J.Janes, T.Collins","Common",,,"Present","J332","Acacia clivicola;Acacia hakeoides;Dodonea cuneata;Callitris columellaris;Eucalyptus crebra;;;;"
"J332 - Recollectc","J332 - Recollect",,6,18,"microcarpa","Eucalyptus sp (microcarpa?)","2016-12-09","Recollected but originals already in herbarium",-28.29549,151.48801,"WGS84","QLD","Gore, Cunningham Hwy",510,"granite/sandstone","sand-clay","SW","J.Janes, T.Collins","Common",,,"Present","J332","Acacia clivicola;Acacia hakeoides;Dodonea cuneata;Callitris columellaris;Eucalyptus crebra;;;;"
"J332 - Recollectd","J332 - Recollect",,6,18,"microcarpa","Eucalyptus sp (microcarpa?)","2016-12-09","Recollected but originals already in herbarium",-28.29549,151.48801,"WGS84","QLD","Gore, Cunningham Hwy",510,"granite/sandstone","sand-clay","SW","J.Janes, T.Collins","Common",,,"Present","J332","Acacia clivicola;Acacia hakeoides;Dodonea cuneata;Callitris columellaris;Eucalyptus crebra;;;;"
"J333a","J333",,5,20,"caleyi","Eucalyptus caleyi","2015-11-04",,-28.52431,151.10556,"WGS84","QLD","Inglewood, Inglewood Texas Rd",340,"granite/sandstone","sand-clay","NE","J.Janes","Common",,,"Present","J333","Acacia leptocarpa;Acacia cultriformis;;;;;;;"
"J333b","J333",,5,20,"caleyi","Eucalyptus caleyi","2015-11-04",,-28.52431,151.10556,"WGS84","QLD","Inglewood, Inglewood Texas Rd",340,"granite/sandstone","sand-clay","NE","J.Janes","Common",,,"Present","J333","Acacia leptocarpa;Acacia cultriformis;;;;;;;"
"J333c","J333",,5,20,"caleyi","Eucalyptus caleyi","2015-11-04",,-28.52431,151.10556,"WGS84","QLD","Inglewood, Inglewood Texas Rd",340,"granite/sandstone","sand-clay","NE","J.Janes","Common",,,"Present","J333","Acacia leptocarpa;Acacia cultriformis;;;;;;;"
"J334a","J334",,5,21,"moluccana","Eucalyptus moluccana (?)","2015-11-04",,-28.53696,151.10815,"WGS84","QLD","Inglewood, Inglewood Texas Rd",335,"granite/sandstone","sand-clay","E","J.Janes","Common",,,"Present","J334","Acacia leptocarpa;Acacia cultriformis;;;;;;;"
"J334b","J334",,5,21,"moluccana","Eucalyptus moluccana (?)","2015-11-04",,-28.53696,151.10815,"WGS84","QLD","Inglewood, Inglewood Texas Rd",335,"granite/sandstone","sand-clay","E","J.Janes","Common",,,"Present","J334","Acacia leptocarpa;Acacia cultriformis;;;;;;;"
"J334c","J334",,5,21,"moluccana","Eucalyptus moluccana (?)","2015-11-04",,-28.53696,151.10815,"WGS84","QLD","Inglewood, Inglewood Texas Rd",335,"granite/sandstone","sand-clay","E","J.Janes","Common",,,"Present","J334","Acacia leptocarpa;Acacia cultriformis;;;;;;;"
"J335a","J335",,5,22,"microcarpa","Eucalyptus microcarpa","2015-11-04",,-28.89198,151.14803,"WGS84","NSW","Texas, Texas Bridge Road",334,"Sandstone","clay-sand",,"J.Janes","Common","Present","Present","Present","J335","Roadside;;;;;;;;"
"J335b","J335",,5,22,"microcarpa","Eucalyptus microcarpa","2015-11-04",,-28.89198,151.14803,"WGS84","NSW","Texas, Texas Bridge Road",334,"Sandstone","clay-sand",,"J.Janes","Common","Present","Present","Present","J335","Roadside;;;;;;;;"
"J335c","J335",,5,22,"microcarpa","Eucalyptus microcarpa","2015-11-04",,-28.89198,151.14803,"WGS84","NSW","Texas, Texas Bridge Road",334,"Sandstone","clay-sand",,"J.Janes","Common","Present","Present","Present","J335","Roadside;;;;;;;;"
