"library","run","run.lib","sample","seq.notes","Sequenced","Project1","Project2","Oxley"
"J417","plate1-6.0","plate1-6.0~J417","J417",,,,,"Y"
"J418","plate1-6.0","plate1-6.0~J418","J418",,"Y",,,
"J418a","plate1-6.0","plate1-6.0~J418a","J418a",,"Y",,,
"J418b","plate1-6.0","plate1-6.0~J418b","J418b",,"Y",,,
"J418c","plate1-6.0","plate1-6.0~J418c","J418c",,"Y",,,
"J418e","plate1-6.0","plate1-6.0~J418e","J418e",,"Y",,,
"J418g","plate1-6.0","plate1-6.0~J418g","J418g",,"Y",,,
"J418h","plate1-6.0","plate1-6.0~J418h","J418h",,"Y",,,
"J418i","plate1-6.0","plate1-6.0~J418i","J418i",,"Y",,,
"J419","plate1-6.0","plate1-6.0~J419","J419",,"Y",,,
"J419a","plate1-6.0","plate1-6.0~J419a","J419a",,"Y",,,
"J419b","plate1-6.0","plate1-6.0~J419b","J419b",,"Y",,,
"J419c","plate1-6.0","plate1-6.0~J419c","J419c",,"Y",,,
"J419d","plate1-6.0","plate1-6.0~J419d","J419d",,"Y",,,
"J419e","plate1-6.0","plate1-6.0~J419e","J419e",,"Y",,,
"J419f","plate1-6.0","plate1-6.0~J419f","J419f",,"Y",,,
"J419g","plate1-6.0","plate1-6.0~J419g","J419g",,"Y",,,
"J419h","plate1-6.0","plate1-6.0~J419h","J419h",,"Y",,,
"J419i","plate1-6.0","plate1-6.0~J419i","J419i",,"Y",,,
"J420","plate1-6.0","plate1-6.0~J420","J420",,,,,"Y"
"J421","plate1-6.0","plate1-6.0~J421","J421",,"Y",,,
"J421b","plate1-6.0","plate1-6.0~J421b","J421b",,"Y",,,
"J422","plate1-6.0","plate1-6.0~J422","J422",,"Y",,,
"J422a","plate1-6.0","plate1-6.0~J422a","J422a",,"Y",,,
"J422c","plate1-6.0","plate1-6.0~J422c","J422c",,"Y",,,
"J422e","plate1-6.0","plate1-6.0~J422e","J422e",,"Y",,,
"J422e-rep","plate1-6.0","plate1-6.0~J422e-rep","J422e",,"Y",,,
"J422f","plate1-6.0","plate1-6.0~J422f","J422f",,"Y",,,
"J422g","plate1-6.0","plate1-6.0~J422g","J422g",,"Y",,,
"J423","plate1-6.0","plate1-6.0~J423","J423",,,,,"Y"
"J424","plate1-6.0","plate1-6.0~J424","J424",,"Y",,,
"J424a","plate1-6.0","plate1-6.0~J424a","J424a",,"Y",,,
"J424b","plate1-6.0","plate1-6.0~J424b","J424b",,"Y",,,
"J424c","plate1-6.0","plate1-6.0~J424c","J424c",,"Y",,,
"J424d","plate1-6.0","plate1-6.0~J424d","J424d",,"Y",,,
