"ID","Species.orig","Latitude","Longitude","Location","Species"
"J364 - Recollect","Eucalyptus conica",-33.41328,148.22136,"Eugowra, Escort Way","Eucalyptus conica"
"J339 - Recollect","Eucalyptus moluccana",-29.45636,151.55505,"Emmaville, Strathbogie Rd","Eucalyptus moluccana"
"J355 - Recollect","Eucalyptus sideroxylon",-36.09264,146.61917,"Chiltern, Chiltern-Howlong Rd.","Eucalyptus sideroxylon"
"J345 - Recollect","Eucalyptus albens",-35.07022,148.83685,"Mullion, Mountain Creek Rd.","Eucalyptus albens"
"J340 - Recollect","Eucalyptus melliodora",-29.45577,151.55405,"Emmaville, Strathbogie Rd","Eucalyptus melliodora"
"J357 - Recollect","Eucalyptus melliodora",-36.019,146.29446,"Collendina State Forest, Spring Dr.","Eucalyptus melliodora"
"J346 - Recollect","Eucalyptus melliodora",-35.06954,148.83661,"Mullion, Mountain Creek Rd.","Eucalyptus melliodora"
"J300 Area - Recollect","Eucalyptus sideroxylon",-29.80812,150.91918,"Gum Flat, Copeton Dam Rd","Eucalyptus sideroxylon"
"J298 - Recollect","Eucalyptus sideroxylon",-30.15277,151.07437,"Bundarra, Thunderbolts Way","Eucalyptus sideroxylon"
"J437","Eucalyptus sideroxylon x melliodora (?)",-30.27552,151.18698,"Bundarra, Thunderbolts Way","Eucalyptus sideroxylon x melliodora"
"J438","Eucalyptus sideroxylon x melliodora (?)",-30.27563,151.18764,"Bundarra, Thunderbolts Way","Eucalyptus sideroxylon x melliodora"
"J332 - Recollect","Eucalyptus sp (microcarpa?)",-28.29549,151.48801,"Gore, Cunningham Hwy","Eucalyptus sp"
"J326 - Recollect","Eucalyptus moluccana",-28.21744,152.84309,"Rathdowney, Boonah Rathdowney Rd","Eucalyptus moluccana"
