"sample","reads","bases","perc_gc","non_acgt","coverage","unique_kmers","kmersize"
"J420",5068712,750944813,40.2,3651,1.1733512703125,307864755,31
"J418b",16400042,2401847858,40.7,15257,3.752887278125,671328694,31
"J418i",11690922,1733741995,41.2,10642,2.7089718671875,551560383,31
"J422",3726826,552114713,41.3,3481,0.8626792390625,241499276,31
"J419d",13034378,1911995902,40.6,7845,2.987493596875,571447650,31
"J419a",14550600,2136520227,41,15700,3.3383128546875,601722433,31
"J418",21233830,3119218907,41.4,20777,4.8737795421875,738863749,31
"J419c",13380986,1954725863,40.6,10320,3.0542591609375,643167495,31
"J419",17395104,2571665186,40.6,13716,4.018226853125,703466609,31
"J419f",12384768,1820571457,40.9,8936,2.8446429015625,591052907,31
"J419i",12386816,1807824744,41.1,11567,2.8247261625,543193562,31
"J419h",13034578,1907200060,40.6,10935,2.98000009375,635723971,31
"J419b",16686592,2448679262,40.9,16395,3.826061346875,667220661,31
"J419g",13758258,2010150597,40.2,11779,3.1408603078125,617752584,31
"J422c",11027748,1630277636,40.6,9859,2.54730880625,583909380,31
"J424b",7805130,1140388829,40.1,6150,1.7818575453125,398048521,31
"J423",8969212,1331713135,41.7,8699,2.0808017734375,460686828,31
"J424d",7981814,1158955483,40.8,6631,1.8108679421875,418094689,31
"J422a",13794210,2032584781,40.9,11848,3.1759137203125,652685023,31
"J422e",11326664,1677415496,40.9,5951,2.6209617125,544499086,31
"J422g",11247690,1640091408,40.4,6461,2.562642825,510726758,31
"J421b",16644138,2447991463,41,14187,3.8249866609375,720523187,31
"J422e-rep",13651136,1997313271,41.4,11822,3.1208019859375,676044817,31
"J422f",12542912,1840142022,41.1,11248,2.875221909375,590050950,31
"J424f",10668880,1566168214,40.9,6510,2.447137834375,524378022,31
"J421",20677220,3066002725,41,15918,4.7906292578125,777477545,31
"J424a",14704936,2150825562,41.1,12386,3.360664940625,632308838,31
"J424e",13804212,2028942206,41.3,12379,3.170222196875,664867977,31
"J424c",15171962,2227533402,40.8,9725,3.480520940625,630875656,31
"J424g",10999454,1602996757,41,8316,2.5046824328125,557151210,31
"J425h",10183404,1487493748,40.4,8112,2.32420898125,475182852,31
"J425g",10237442,1501494846,41,10056,2.346085696875,493694774,31
"J425d",12402776,1819987841,41,11656,2.8437310015625,562898312,31
"J425a",11984144,1764444295,41.1,8698,2.7569442109375,564133738,31
"J424",22289686,3280242009,40.8,16212,5.1253781390625,814447603,31
"J425b",14016842,2051703605,41.3,13566,3.2057868828125,609115289,31
"J425",14270832,2107220388,40.2,11161,3.29253185625,595319881,31
"J426",10019736,1476942239,40.8,5031,2.3077222484375,503321161,31
"J426d",7868498,1145113148,40.2,8145,1.78923929375,414053983,31
"J425c",16376856,2404826224,41,10824,3.757540975,659401100,31
"J426a",11665218,1713215618,40,12120,2.676899403125,549403630,31
"J426b",10919028,1610372087,40.5,8404,2.5162063859375,577576155,31
"J425f",16362958,2402127979,40.5,14874,3.7533249671875,715195349,31
"J426c",11815612,1730155504,40.4,8887,2.703367975,599822863,31
"J427",5394652,800788403,40.6,4726,1.2512318796875,354535848,31
"J425i",16265172,2392917033,40.7,14493,3.7389328640625,656124580,31
"J427a",6016448,894778503,40.1,4459,1.3980914109375,353930104,31
"J426f",8932220,1308236993,39.8,7263,2.0441203015625,456203403,31
"J426g",7885362,1151254014,40.2,7750,1.798834396875,413969969,31
